feedback_id,merchant_id,timestamp,text,sentiment_label,category,priority,resolved
FB000048,M43DD49B4FDB9,2025-02-14,Need clarification on the cross-border fee structure. Reference: TKT97005,neutral,features,low,False
FB000049,M115F89503138,2025-02-13,Integration issues caused downtime for our checkout. Reference: TKT24759,negative,features,high,False
FB000050,MDBD22BA3BD0D,2025-04-06,Customer support resolved our issue quickly. Very satisfied with the service.,positive,account,low,False
FB000051,MB73DFE25B4B8,2025-04-18,The API integration was smooth and the documentation was very helpful. Reference: TKT84880,positive,disputes,low,True
FB000052,M6CFE0E6127FA,2025-11-30,The API integration was smooth and the documentation was very helpful. Reference: TKT30617,positive,general,low,True
FB000053,MF718499C1C8C,2025-06-28,Requesting documentation for webhook implementation.,neutral,disputes,low,True
FB000054,M487D4C6A3244,2025-08-01,Great experience with the checkout process. Our conversion rate improved significantly.,positive,disputes,medium,True
FB000055,M89FCD07F20B6,2025-06-29,PayPal has been instrumental in helping us expand internationally.,positive,technical,low,True
FB000056,M54F5F4071FAC,2025-09-29,Customer support resolved our issue quickly. Very satisfied with the service.,positive,billing,medium,False
FB000057,MEAA32C96F620,2025-01-31,Need clarification on the cross-border fee structure.,neutral,general,medium,True
FB000058,ME0F7A4D0EF9B,2025-10-16,Great experience with the checkout process. Our conversion rate improved significantly.,positive,account,medium,True
FB000059,M86B122D43583,2025-01-23,The dispute resolution process took too long and we lost money.,negative,disputes,medium,False
FB000060,M5B4130C9E891,2025-02-03,Requesting documentation for webhook implementation.,neutral,billing,low,True
FB000061,MA14AC55A4F27,2025-07-05,Requesting documentation for webhook implementation. Reference: TKT57253,neutral,features,low,True
FB000062,M7F100B7B3609,2025-04-10,The new dashboard features are excellent for tracking our business metrics.,positive,billing,low,True
FB000063,M332647F433A1,2025-08-31,Transaction fees are higher than competitors. Need better rates for our volume.,negative,billing,low,False
FB000064,M3A066BDA8C96,2025-11-28,Looking for information about enterprise pricing options. Reference: TKT81574,neutral,disputes,medium,True
FB000065,MFB4AB556BC42,2025-05-10,Need clarification on the cross-border fee structure. Reference: TKT30695,neutral,technical,high,True
FB000066,M285E19F20BED,2025-01-23,Integration issues caused downtime for our checkout.,negative,general,low,True
FB000067,M74378AFE5E8B,2025-08-13,Great experience with the checkout process. Our conversion rate improved significantly. Reference: TKT76570,positive,technical,medium,True
FB000068,M758A06618C69,2025-12-20,Inquiry about new features on the roadmap. Reference: TKT63895,neutral,account,low,True
FB000069,M443DEC3062D0,2025-12-23,The new dashboard features are excellent for tracking our business metrics.,positive,billing,high,False
FB000070,MD860EDD1DD83,2025-09-29,Customer support resolved our issue quickly. Very satisfied with the service. Reference: TKT10706,positive,account,medium,True
FB000071,ME069EA4C9C23,2025-12-27,Looking for information about enterprise pricing options. Reference: TKT68444,neutral,account,medium,True
FB000072,M97AF4FB322BB,2025-03-03,Integration issues caused downtime for our checkout.,negative,features,medium,True
FB000073,M2A34ABD6EBBD,2025-09-03,Customer support resolved our issue quickly. Very satisfied with the service.,positive,features,low,True
FB000074,M6364D3F0F495,2025-08-09,Great experience with the checkout process. Our conversion rate improved significantly. Reference: TKT41352,positive,billing,medium,False
FB000075,M2838023A778D,2025-08-23,Need clarification on the cross-border fee structure. Reference: TKT38207,neutral,billing,high,True
FB000076,MA38B16173474,2025-05-18,PayPal has been instrumental in helping us expand internationally. Reference: TKT74622,positive,disputes,low,True
FB000077,M2CFD4560539F,2025-04-08,Looking for information about enterprise pricing options.,neutral,account,medium,True
FB000078,MD709F38EF758,2025-03-25,Great experience with the checkout process. Our conversion rate improved significantly. Reference: TKT22026,positive,technical,medium,True
FB000079,M6EF80BB237AD,2025-03-20,Looking for information about enterprise pricing options.,neutral,account,low,True
FB000080,MDAAAF1365138,2025-01-23,Funds were held for too long without clear explanation. Reference: TKT24889,negative,account,low,False
FB000081,M61B1FB3F59E2,2025-06-06,General question about account verification process.,neutral,technical,low,True
FB000082,M8F468C873A32,2025-06-07,The new dashboard features are excellent for tracking our business metrics. Reference: TKT44277,positive,billing,low,True
FB000083,M94E4451AD239,2025-02-01,Integration issues caused downtime for our checkout.,negative,account,medium,True
FB000084,MDA4FB5C6E93E,2025-03-19,Customer support resolved our issue quickly. Very satisfied with the service.,positive,account,high,False
FB000085,M2F25F6E326AD,2025-08-02,Transaction fees are higher than competitors. Need better rates for our volume.,negative,technical,low,True
FB000086,MEB6FDC36B281,2025-09-11,PayPal has been instrumental in helping us expand internationally. Reference: TKT59307,positive,billing,low,True
FB000087,M7E7E69EA3384,2025-12-19,The dispute resolution process took too long and we lost money. Reference: TKT77095,negative,technical,high,False
FB000088,M2D3ACD3E240C,2025-01-23,The API integration was smooth and the documentation was very helpful.,positive,account,low,True
FB000089,MF0ADC8838F4B,2025-11-05,Funds were held for too long without clear explanation. Reference: TKT49671,negative,disputes,medium,True
FB000090,ME32510755543,2025-09-15,Customer support resolved our issue quickly. Very satisfied with the service. Reference: TKT63292,positive,technical,low,True
FB000091,M32E05616C8ED,2025-09-11,General question about account verification process.,neutral,account,medium,False
FB000092,MA07C2F3B3B90,2025-11-19,General question about account verification process.,neutral,general,low,True
FB000093,M779EFBD24D5A,2025-08-06,The API integration was smooth and the documentation was very helpful. Reference: TKT71611,positive,general,low,True
FB000094,MB2AB001909A8,2025-06-30,Inquiry about new features on the roadmap.,neutral,disputes,medium,True
FB000095,M11D0E6287202,2025-11-01,Customer support resolved our issue quickly. Very satisfied with the service. Reference: TKT24646,positive,features,low,True
FB000096,MABEA47BA2414,2025-12-23,Looking for information about enterprise pricing options.,neutral,billing,medium,True
FB000097,M3937230DE3C8,2025-06-24,Great experience with the checkout process. Our conversion rate improved significantly.,positive,general,medium,True
FB000098,MA981F2B70804,2025-04-14,Integration issues caused downtime for our checkout.,negative,general,medium,False
FB000099,MB337E84DE875,2025-09-01,The API integration was smooth and the documentation was very helpful.,positive,account,medium,False
FB000100,M102F0BB6EFB3,2025-12-21,Funds were held for too long without clear explanation.,negative,account,high,True
FB000101,MF7E0B9565406,2025-05-01,General question about account verification process. Reference: TKT76509,neutral,account,low,True
FB000102,M4C22BD444899,2025-07-28,PayPal has been instrumental in helping us expand internationally.,positive,account,low,True
FB000103,M9701A1C165DD,2025-01-24,Funds were held for too long without clear explanation.,negative,billing,medium,True
FB000104,ME727FA59DDEF,2025-07-08,Transaction fees are higher than competitors. Need better rates for our volume.,negative,technical,low,True
FB000105,MF0DD4A99FBA6,2025-10-18,Funds were held for too long without clear explanation.,negative,technical,medium,True
FB000106,M250413D2982F,2025-10-16,Customer support response time needs improvement.,negative,general,medium,True
FB000107,M6DB291AC9963,2025-02-24,The new dashboard features are excellent for tracking our business metrics. Reference: TKT31840,positive,general,high,True
FB000108,M31FEFC0E570C,2025-07-06,Inquiry about new features on the roadmap.,neutral,account,high,True
FB000109,M1ABB1E1EA5F4,2025-04-23,The new dashboard features are excellent for tracking our business metrics. Reference: TKT32347,positive,billing,medium,True
FB000110,MD254C8A084D4,2025-01-30,The new dashboard features are excellent for tracking our business metrics.,positive,general,medium,True
FB000111,M48AB2F9B4595,2025-03-25,Requesting documentation for webhook implementation. Reference: TKT85578,neutral,account,medium,True
FB000112,MD64A340BCB63,2025-02-15,The dispute resolution process took too long and we lost money.,negative,billing,medium,True
FB000113,M353DE26971B9,2025-10-04,Transaction fees are higher than competitors. Need better rates for our volume.,negative,disputes,low,True
FB000114,M0D73A25092E5,2025-04-20,Integration issues caused downtime for our checkout. Reference: TKT55382,negative,features,medium,True
FB000115,M9766527F2B5D,2025-09-06,Customer support response time needs improvement.,negative,disputes,low,False
FB000116,MC86A7EE3D8EF,2025-11-04,General question about account verification process.,neutral,billing,high,True
FB000117,M2D405B367158,2025-07-28,Need clarification on the cross-border fee structure.,neutral,billing,low,True
FB000118,M0D9095B0D6BB,2025-02-14,Looking for information about enterprise pricing options. Reference: TKT90053,neutral,disputes,medium,True
FB000119,M8420D3594040,2025-10-19,Great experience with the checkout process. Our conversion rate improved significantly.,positive,account,medium,True
FB000120,M9327969053C0,2026-01-05,Funds were held for too long without clear explanation.,negative,features,low,False
FB000121,MA941493EEEA5,2025-10-29,General question about account verification process.,neutral,billing,low,True
FB000122,M4FFCE04D92A4,2025-05-24,Requesting documentation for webhook implementation.,neutral,general,medium,True
FB000123,M71AD16AD2C4D,2025-07-01,Requesting documentation for webhook implementation.,neutral,technical,medium,True
FB000124,M160C88652D47,2025-12-19,Funds were held for too long without clear explanation.,negative,technical,low,True
FB000125,MB427426B8ACD,2025-08-03,Inquiry about new features on the roadmap.,neutral,technical,low,True
FB000126,M07CDFD23373B,2025-06-14,Requesting documentation for webhook implementation. Reference: TKT62170,neutral,account,medium,True
FB000127,M93D65641FF3F,2025-02-10,The API integration was smooth and the documentation was very helpful.,positive,features,medium,False
FB000128,M28DC6B0E1B33,2025-09-09,The API integration was smooth and the documentation was very helpful.,positive,billing,low,True
FB000129,M18EAD4C77C3F,2025-08-31,Transaction fees are higher than competitors. Need better rates for our volume.,negative,disputes,low,True
FB000130,M653AC11CA60B,2025-06-18,The new dashboard features are excellent for tracking our business metrics. Reference: TKT99516,positive,general,low,True
FB000131,M850AF92F8D99,2026-01-03,Transaction fees are higher than competitors. Need better rates for our volume.,negative,disputes,medium,True
FB000132,M555D6702C950,2025-05-13,General question about account verification process. Reference: TKT54647,neutral,features,medium,True
FB000133,M9DFCD5E558DF,2025-10-16,Requesting documentation for webhook implementation.,neutral,disputes,medium,False
FB000134,M7B7A53E23940,2025-05-11,Great experience with the checkout process. Our conversion rate improved significantly.,positive,billing,low,False
FB000135,MDF4FE8A8BCD5,2026-01-13,The dispute resolution process took too long and we lost money. Reference: TKT38904,negative,billing,low,False
FB000136,MA501BEBF79D5,2025-04-10,The dispute resolution process took too long and we lost money. Reference: TKT48610,negative,technical,high,True
FB000137,M070DBB6024B5,2026-01-09,Requesting documentation for webhook implementation.,neutral,technical,low,True
FB000138,M878D5691C824,2025-05-07,Great experience with the checkout process. Our conversion rate improved significantly.,positive,account,low,True
FB000139,MFEC8D47D412B,2025-09-15,Great experience with the checkout process. Our conversion rate improved significantly.,positive,features,medium,False
FB000140,M02B1BE0D4892,2025-09-21,The dispute resolution process took too long and we lost money.,negative,account,low,True
FB000141,MFB60D411A5C5,2025-03-13,Need clarification on the cross-border fee structure.,neutral,account,medium,True
FB000142,MA3D68B461BD9,2025-11-04,Inquiry about new features on the roadmap.,neutral,billing,high,True
FB000143,M0DEB1C548143,2026-01-08,Looking for information about enterprise pricing options.,neutral,billing,medium,True
FB000144,MF5DEAEEAE153,2025-05-23,Great experience with the checkout process. Our conversion rate improved significantly.,positive,account,low,False
FB000145,MB030AFBB3A8A,2025-08-19,The dispute resolution process took too long and we lost money. Reference: TKT11321,negative,account,low,True
FB000146,M4AFD521D7715,2025-12-12,The dispute resolution process took too long and we lost money. Reference: TKT90245,negative,disputes,low,True
FB000147,M4CB811134B9D,2025-02-02,Customer support response time needs improvement.,negative,billing,low,True
FB000148,M11D0E6287202,2025-07-15,Great experience with the checkout process. Our conversion rate improved significantly. Reference: TKT65407,positive,disputes,low,True
FB000149,M228499B55310,2026-01-18,The dispute resolution process took too long and we lost money. Reference: TKT19830,negative,billing,low,False
FB000150,M1415DB70FE9D,2025-10-10,Customer support resolved our issue quickly. Very satisfied with the service. Reference: TKT19533,positive,account,low,True
FB000151,M11D0E6287202,2025-06-13,Great experience with the checkout process. Our conversion rate improved significantly. Reference: TKT24302,positive,technical,low,True
FB000152,M076A0C97D09C,2025-10-10,Need clarification on the cross-border fee structure.,neutral,features,high,True
FB000153,M52720E003547,2025-03-30,PayPal has been instrumental in helping us expand internationally.,positive,account,low,False
FB000154,MFA14D4FE2F19,2025-05-29,Requesting documentation for webhook implementation.,neutral,technical,medium,False
FB000155,M25EF0D887BC7,2025-12-19,Looking for information about enterprise pricing options.,neutral,general,low,True
FB000156,M5DF07ECF4CEA,2025-10-13,Transaction fees are higher than competitors. Need better rates for our volume. Reference: TKT61856,negative,disputes,low,False
FB000157,MBC4E356FEE19,2026-01-15,The new dashboard features are excellent for tracking our business metrics.,positive,disputes,high,True
FB000158,M81B3833E2504,2025-07-02,Customer support resolved our issue quickly. Very satisfied with the service. Reference: TKT86199,positive,disputes,high,True
FB000159,M82161242827B,2026-01-13,Integration issues caused downtime for our checkout.,negative,general,high,False
FB000160,MC2BA1BC54B23,2025-05-20,PayPal has been instrumental in helping us expand internationally.,positive,billing,medium,False
FB000161,M6D0F846348A8,2025-12-18,Integration issues caused downtime for our checkout.,negative,technical,low,True
FB000162,M6C990B7ACA7B,2025-10-23,Inquiry about new features on the roadmap.,neutral,features,low,True
FB000163,M9BF31C7FF062,2025-09-23,The new dashboard features are excellent for tracking our business metrics. Reference: TKT43533,positive,features,medium,False
FB000164,M5737C6EC2E07,2025-07-09,Customer support response time needs improvement. Reference: TKT97540,negative,general,high,True
FB000165,M505259756244,2025-02-25,Customer support resolved our issue quickly. Very satisfied with the service. Reference: TKT65101,positive,features,low,True
FB000166,MCF67355A3333,2025-08-21,Requesting documentation for webhook implementation.,neutral,general,high,True
FB000167,M6547884CEA64,2025-07-01,The dispute resolution process took too long and we lost money.,negative,features,medium,True
FB000168,M4B0A59DDF11C,2025-11-23,Inquiry about new features on the roadmap.,neutral,general,medium,True
FB000169,MA2CC63E06570,2025-05-15,Integration issues caused downtime for our checkout.,negative,billing,low,True
FB000170,M0F46C64B74A6,2026-01-04,Customer support resolved our issue quickly. Very satisfied with the service.,positive,general,low,True
FB000171,M92262BF907AF,2025-12-26,Need clarification on the cross-border fee structure. Reference: TKT93729,neutral,account,medium,True
FB000172,M7993E11204B2,2025-06-30,Customer support resolved our issue quickly. Very satisfied with the service.,positive,billing,medium,False
FB000173,MCFECDB276F63,2025-01-23,General question about account verification process.,neutral,account,low,False
FB000174,MFBA9D88164F3,2025-08-27,Transaction fees are higher than competitors. Need better rates for our volume. Reference: TKT56951,negative,general,low,False
FB000175,M1E6E0A04D20F,2025-09-14,Great experience with the checkout process. Our conversion rate improved significantly. Reference: TKT18409,positive,account,medium,True
FB000176,MFE8C15FED5F8,2025-03-28,PayPal has been instrumental in helping us expand internationally.,positive,billing,low,True
FB000177,M7CE3284B743A,2025-11-14,Need clarification on the cross-border fee structure.,neutral,general,medium,True
FB000178,M321CF86B4C9F,2025-10-02,Funds were held for too long without clear explanation. Reference: TKT50481,negative,features,medium,True
FB000179,M7D6044E95A16,2025-12-01,Funds were held for too long without clear explanation.,negative,billing,low,True
FB000180,M878D5691C824,2025-09-12,The new dashboard features are excellent for tracking our business metrics.,positive,billing,low,False
FB000181,MD81F9C1BE2E0,2025-01-27,General question about account verification process.,neutral,general,high,True
FB000182,M59BCDA7C438B,2025-09-27,PayPal has been instrumental in helping us expand internationally.,positive,features,high,True
FB000183,MD4B2AEB2453B,2025-05-27,Inquiry about new features on the roadmap.,neutral,technical,low,False
FB000184,MA36B0DCD1E63,2025-08-13,Customer support resolved our issue quickly. Very satisfied with the service. Reference: TKT12300,positive,billing,medium,True
FB000185,M3416A75F4CEA,2025-04-30,The API integration was smooth and the documentation was very helpful.,positive,features,low,True
FB000186,M959EF477884B,2025-07-15,Looking for information about enterprise pricing options.,neutral,general,medium,True
FB000187,M0189CAA55259,2025-07-26,Transaction fees are higher than competitors. Need better rates for our volume.,negative,billing,medium,True
FB000188,MFAAFDA66202D,2025-05-09,Great experience with the checkout process. Our conversion rate improved significantly.,positive,general,high,True
FB000189,M1264A061D82A,2026-01-19,Transaction fees are higher than competitors. Need better rates for our volume.,negative,features,low,True
FB000190,ME27A949795BB,2025-06-22,Funds were held for too long without clear explanation.,negative,general,medium,True
FB000191,MF0E52B27A7A5,2025-05-29,General question about account verification process.,neutral,technical,medium,True
FB000192,MCF9A242B70F4,2025-02-26,Need clarification on the cross-border fee structure.,neutral,disputes,low,True
FB000193,M0EFBE98067C6,2025-12-16,Inquiry about new features on the roadmap.,neutral,account,low,True
FB000194,M9FE97FFF97F0,2025-05-11,The new dashboard features are excellent for tracking our business metrics.,positive,account,medium,True
FB000195,MBCBE3365E6AC,2025-04-16,Customer support resolved our issue quickly. Very satisfied with the service.,positive,account,low,True
FB000196,MBE3E9D3F7D70,2025-09-13,Customer support response time needs improvement. Reference: TKT24337,negative,features,medium,False
FB000197,M8F19793B2671,2025-07-29,Transaction fees are higher than competitors. Need better rates for our volume.,negative,general,low,True
FB000198,M430C3626B879,2026-01-13,Inquiry about new features on the roadmap.,neutral,disputes,medium,True
FB000199,ME94550C93CD7,2025-10-29,The new dashboard features are excellent for tracking our business metrics. Reference: TKT11095,positive,disputes,medium,False
FB000200,M051E4E127B92,2025-03-13,The API integration was smooth and the documentation was very helpful.,positive,features,medium,True
FB000201,M6FAA8040DA20,2025-02-01,Transaction fees are higher than competitors. Need better rates for our volume.,negative,general,medium,True
FB000202,M4A06D868D044,2025-03-27,Customer support resolved our issue quickly. Very satisfied with the service. Reference: TKT85162,positive,account,low,True
FB000203,M566A9968B436,2025-07-27,Funds were held for too long without clear explanation.,negative,general,high,False
FB000204,M3DE2334A314A,2025-11-16,Looking for information about enterprise pricing options.,neutral,account,low,False
FB000205,MAE1EAA32D10B,2025-05-06,The new dashboard features are excellent for tracking our business metrics.,positive,technical,high,True
FB000206,MF2D887E01A80,2025-11-28,Customer support resolved our issue quickly. Very satisfied with the service. Reference: TKT49372,positive,billing,medium,True
FB000207,M277A78FC05C8,2025-03-19,Customer support response time needs improvement.,negative,account,high,True
FB000208,M6775A0635C30,2025-07-11,The new dashboard features are excellent for tracking our business metrics.,positive,account,low,False
FB000209,M92262BF907AF,2025-06-12,Inquiry about new features on the roadmap.,neutral,disputes,low,False
FB000210,M9719A00ED0C5,2025-12-22,Funds were held for too long without clear explanation.,negative,billing,low,False
FB000211,M94C7BB58EFC3,2025-09-20,Funds were held for too long without clear explanation.,negative,account,high,True
FB000212,M2291D2EC3B30,2025-10-21,The new dashboard features are excellent for tracking our business metrics.,positive,general,low,True
FB000213,MF57A2F557B09,2025-10-18,Need clarification on the cross-border fee structure.,neutral,features,high,True
FB000214,M130F1A8E9E10,2025-05-10,Inquiry about new features on the roadmap.,neutral,technical,low,True
FB000215,MC26820B8A4C1,2025-12-19,Integration issues caused downtime for our checkout. Reference: TKT29475,negative,disputes,medium,True
FB000216,MBB1662B7C5F2,2025-07-24,Need clarification on the cross-border fee structure.,neutral,disputes,low,True
FB000217,M6786F3C62FBF,2025-11-02,Requesting documentation for webhook implementation.,neutral,disputes,medium,True
FB000218,M8B5700012BE6,2025-10-09,The new dashboard features are excellent for tracking our business metrics.,positive,general,low,False
FB000219,MD3A7F48C12E6,2025-04-20,Integration issues caused downtime for our checkout.,negative,disputes,medium,True
FB000220,MA8240CB8235E,2025-05-08,Great experience with the checkout process. Our conversion rate improved significantly. Reference: TKT94276,positive,account,medium,True
FB000221,M8B4224068A41,2025-12-30,Requesting documentation for webhook implementation.,neutral,disputes,medium,True
FB000222,M2B8EBA3CB0D0,2025-04-20,General question about account verification process. Reference: TKT22136,neutral,general,medium,False
FB000223,MD790C9E6C0B5,2025-01-27,PayPal has been instrumental in helping us expand internationally.,positive,features,low,False
FB000224,MD554F7BB7BE4,2025-07-17,Integration issues caused downtime for our checkout.,negative,disputes,high,True
FB000225,MF457C545A9DE,2025-06-28,General question about account verification process.,neutral,billing,low,True
FB000226,M184260348236,2026-01-01,The dispute resolution process took too long and we lost money.,negative,disputes,medium,False
FB000227,M6C3CF77D5282,2025-02-21,General question about account verification process. Reference: TKT90380,neutral,billing,low,True
FB000228,M73278A4A8696,2025-11-23,Inquiry about new features on the roadmap.,neutral,disputes,medium,True
FB000229,M697E382CFD25,2025-08-01,Requesting documentation for webhook implementation.,neutral,general,medium,True
FB000230,M091D584FCED3,2025-08-23,PayPal has been instrumental in helping us expand internationally. Reference: TKT18913,positive,account,low,True
FB000231,MBC6DC48B743D,2025-09-26,Transaction fees are higher than competitors. Need better rates for our volume.,negative,technical,high,True
FB000232,M9C01802DDB98,2025-03-19,Need clarification on the cross-border fee structure.,neutral,technical,medium,False
FB000233,M006F52E9102A,2025-10-08,Need clarification on the cross-border fee structure.,neutral,disputes,low,False
FB000234,MA588A6199FEF,2025-12-12,Inquiry about new features on the roadmap. Reference: TKT91903,neutral,account,low,True
FB000235,MEE26FC66B136,2025-04-19,Looking for information about enterprise pricing options. Reference: TKT89766,neutral,technical,medium,True
FB000236,M4DCF43543589,2025-12-25,Transaction fees are higher than competitors. Need better rates for our volume. Reference: TKT17336,negative,disputes,high,True
FB000237,M7810CCD41BF2,2025-10-28,PayPal has been instrumental in helping us expand internationally. Reference: TKT24366,positive,disputes,low,False
FB000238,M250CF8B51C77,2025-09-05,PayPal has been instrumental in helping us expand internationally.,positive,account,low,True
FB000239,MD736BB10D83A,2025-07-19,PayPal has been instrumental in helping us expand internationally.,positive,general,low,True
FB000240,M74378AFE5E8B,2025-09-05,PayPal has been instrumental in helping us expand internationally.,positive,general,high,True
FB000241,M4F6FFE13A5D7,2025-04-24,General question about account verification process. Reference: TKT43083,neutral,account,low,True
FB000242,MAF4732711661,2025-02-21,The new dashboard features are excellent for tracking our business metrics. Reference: TKT13946,positive,features,low,True
FB000243,M2B24D495052A,2025-01-29,Requesting documentation for webhook implementation.,neutral,billing,low,True
FB000244,M445E1050156C,2025-03-09,Requesting documentation for webhook implementation.,neutral,features,low,False
FB000245,M6A4CBDAEDCBD,2026-01-14,Transaction fees are higher than competitors. Need better rates for our volume.,negative,general,low,True
FB000246,M1651CF0D2F73,2025-04-13,Funds were held for too long without clear explanation.,negative,account,high,True
FB000247,M2F29B6E3ABC6,2025-07-09,Looking for information about enterprise pricing options.,neutral,account,high,True
FB000248,M2823F4797102,2025-04-12,The dispute resolution process took too long and we lost money.,negative,billing,low,True
FB000249,MD18F655C3FCE,2025-08-16,Looking for information about enterprise pricing options.,neutral,technical,medium,True
FB000250,M30C8E1CA8725,2025-03-30,The API integration was smooth and the documentation was very helpful. Reference: TKT91573,positive,general,low,False
FB000251,M85F007F8C50D,2026-01-18,Customer support response time needs improvement. Reference: TKT19326,negative,billing,medium,True
FB000252,MC6036A69BE21,2025-07-16,Looking for information about enterprise pricing options.,neutral,billing,medium,True
FB000253,MB06B5541A62E,2025-09-05,Great experience with the checkout process. Our conversion rate improved significantly.,positive,account,medium,True
FB000254,MC559DA2BA967,2025-03-20,Looking for information about enterprise pricing options.,neutral,account,high,True
